[INFO] Scanning for projects...
[WARNING] 
[WARNING] Some problems were encountered while building the effective model for org.nlopt4j:optimizer:jar:1.0-SNAPSHOT
[WARNING] 'build.plugins.plugin.version' for org.apache.maven.plugins:maven-compiler-plugin is missing. @ line 20, column 15
[WARNING] 
[WARNING] Some problems were encountered while building the effective model for org.nlopt4j:libnlopt4j:jnilib:1.0-SNAPSHOT
[WARNING] 'build.plugins.plugin.version' for org.apache.maven.plugins:maven-compiler-plugin is missing. @ org.nlopt4j:parent:1.0-SNAPSHOT, /Users/patrickli/git/nlopt4j/pom.xml, line 14, column 15
[WARNING] 'build.plugins.plugin.version' for org.apache.maven.plugins:maven-surefire-plugin is missing. @ line 65, column 15
[WARNING] 'build.plugins.plugin.version' for org.codehaus.mojo:native-maven-plugin is missing. @ line 28, column 15
[WARNING] 
[WARNING] Some problems were encountered while building the effective model for org.nlopt4j:parent:pom:1.0-SNAPSHOT
[WARNING] 'build.plugins.plugin.version' for org.apache.maven.plugins:maven-compiler-plugin is missing. @ line 14, column 15
[WARNING] 
[WARNING] It is highly recommended to fix these problems because they threaten the stability of your build.
[WARNING] 
[WARNING] For this reason, future Maven versions might no longer support building such malformed projects.
[WARNING] 
[INFO] ------------------------------------------------------------------------
[INFO] Reactor Build Order:
[INFO] 
[INFO] parent                                                             [pom]
[INFO] optimizer                                                          [jar]
[INFO] libnlopt4j                                                      [jnilib]
[INFO] 
[INFO] -------------------------< org.nlopt4j:parent >-------------------------
[INFO] Building parent 1.0-SNAPSHOT                                       [1/3]
[INFO] --------------------------------[ pom ]---------------------------------
[INFO] 
[INFO] -----------------------< org.nlopt4j:optimizer >------------------------
[INFO] Building optimizer 1.0-SNAPSHOT                                    [2/3]
[INFO] --------------------------------[ jar ]---------------------------------
[WARNING] The POM for Stock-analysis:Stock-analysis:jar:0.0.1-SNAPSHOT is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
[INFO] 
[INFO] --- maven-resources-plugin:2.6:resources (default-resources) @ optimizer ---
[WARNING] Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
[INFO] skip non existing resourceDirectory /Users/patrickli/git/nlopt4j/maven-java/src/main/resources
[INFO] 
[INFO] --- maven-compiler-plugin:3.1:compile (default-compile) @ optimizer ---
[INFO] Nothing to compile - all classes are up to date
[INFO] 
[INFO] --- maven-resources-plugin:2.6:testResources (default-testResources) @ optimizer ---
[WARNING] Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
[INFO] skip non existing resourceDirectory /Users/patrickli/git/nlopt4j/maven-java/src/test/resources
[INFO] 
[INFO] --- maven-compiler-plugin:3.1:testCompile (default-testCompile) @ optimizer ---
[INFO] No sources to compile
[INFO] 
[INFO] --- maven-surefire-plugin:2.12.4:test (default-test) @ optimizer ---
[INFO] No tests to run.
[INFO] 
[INFO] -----------------------< org.nlopt4j:libnlopt4j >-----------------------
[INFO] Building libnlopt4j 1.0-SNAPSHOT                                   [3/3]
[INFO] -------------------------------[ jnilib ]-------------------------------
[INFO] 
[INFO] --- native-maven-plugin:1.0-alpha-11:initialize (default-initialize) @ libnlopt4j ---
[INFO] 
[INFO] --- native-maven-plugin:1.0-alpha-11:unzipinc (default-unzipinc) @ libnlopt4j ---
[INFO] 
[INFO] --- native-maven-plugin:1.0-alpha-11:javah (default-javah) @ libnlopt4j ---
[INFO] /bin/sh -c cd '/Users/patrickli/git/nlopt4j/maven-macosx/target' && 'javah' '-o' '/Users/patrickli/git/nlopt4j/include/nlopt_jni.h' '-classpath' '/Users/patrickli/git/nlopt4j/maven-macosx/target/classes:/Users/patrickli/git/nlopt4j/maven-java/target/classes:/Users/patrickli/.m2/repository/junit/junit/4.11/junit-4.11.jar:/Users/patrickli/.m2/repository/org/hamcrest/hamcrest-core/1.3/hamcrest-core-1.3.jar:/Users/patrickli/.m2/repository/Stock-analysis/Stock-analysis/0.0.1-SNAPSHOT/Stock-analysis-0.0.1-SNAPSHOT.jar:/Users/patrickli/.m2/repository/org/apache/commons/commons-lang3/3.9/commons-lang3-3.9.jar' 'org.nlopt4j.optimizer.NLopt'
[INFO] 
[INFO] --- native-maven-plugin:1.0-alpha-11:compile (default-compile) @ libnlopt4j ---
[INFO] 
[INFO] --- native-maven-plugin:1.0-alpha-11:link (default-link) @ libnlopt4j ---
[INFO] /bin/sh -c cd '/Users/patrickli/git/nlopt4j/maven-macosx/target' && 'gcc' '-dynamiclib' '-framework' 'JavaVM' '/Users/patrickli/nlopt/lib/libnlopt.dylib' '-o' '/Users/patrickli/git/nlopt4j/maven-macosx/target/libnlopt4j.jnilib' 'objs/nlopt_jni.o'
[INFO] 
[INFO] --- maven-resources-plugin:3.1.0:testResources (default-testResources) @ libnlopt4j ---
[WARNING] Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
[INFO] skip non existing resourceDirectory /Users/patrickli/git/nlopt4j/maven-macosx/src/test/resources
[INFO] 
[INFO] --- maven-compiler-plugin:3.8.1:testCompile (default-testCompile) @ libnlopt4j ---
[INFO] Nothing to compile - all classes are up to date
[INFO] 
[INFO] --- maven-surefire-plugin:3.0.0-M4:test (default-test) @ libnlopt4j ---
[INFO] 
[INFO] -------------------------------------------------------
[INFO]  T E S T S
[INFO] -------------------------------------------------------
[INFO] Running org.nlopt4j.optimizer.TestAlgoPerformance_CRS2_LM
##########09:18:37 NLOPT_Start_Time
Run,RSIMagnitude,RSILowerThan,SMAMagnitude,VolumeHigherThan,ReentryRSIMagnitude,ReentryRSILowerThan,TakeProfit,StopLoss,StartExecute,EndExecute,NetProfit,AnnualIncrement,TotalTradedVolume
47,84,27.81,42,1.52,131,41.4,1.34,0.91,10:40:07,10:40:10,-10421.892090000096,-0.0017663087990781312,1694442.5089999998
48,186,32.62,55,1.6,170,44.11,1.28,0.82,10:40:10,10:40:17,28750.800000000047,0.004586362427395629,228920.0
49,131,34.84,63,1.87,213,25.62,1.31,0.94,10:40:17,10:40:23,-3701.9172299999627,-6.206318617223427E-4,4134080.523
50,57,26.85,52,1.37,52,41.41,1.16,0.88,10:40:23,10:40:26,-83541.58410000004,-0.01618676424006449,5946805.6099999985
51,176,31.09,70,1.59,125,49.81,1.08,0.83,10:40:26,10:40:32,9781.200000000012,0.0016054757570997946,209880.0
52,102,29.6,46,1.3,82,40.47,1.26,0.79,10:40:32,10:40:36,-101235.3486,-0.02037266525307413,1175480.8599999999
53,188,28.19,79,1.9,263,31.75,1.22,0.89,10:40:36,10:40:43,0.0,0.0,0.0
54,13,35.13,42,1.43,235,30.76,1.05,0.86,10:40:43,10:41:01,-137348.15901400038,-0.030144827327483137,6.107600084139999E7
55,93,26.3,32,1.87,150,31.06,1.15,0.94,10:41:01,10:41:05,-974.9000000000233,-1.6273467230298877E-4,796490.0
56,180,37.94,80,1.79,184,47.11,1.3,0.81,10:41:05,10:41:11,141074.16817999998,0.019458422977749912,3098656.7819999997
57,119,30.27,40,1.64,276,48.25,1.16,0.85,10:41:11,10:41:16,-31248.02799999999,-0.00548458233617688,566042.8
58,243,25.69,85,1.3,286,31.48,1.1,0.86,10:41:16,10:41:25,0.0,0.0,0.0
59,15,33.08,60,1.4,135,48.83,1.3,0.77,10:41:25,10:41:36,783429.2601869998,0.06631118635096378,2.6794695141300008E7
60,36,20.53,47,1.5,133,31.02,1.22,0.93,10:41:36,10:41:40,-163650.28475,-0.03866080582409592,4867054.274999999
61,82,34.17,70,1.74,104,36.52,1.26,0.79,10:41:40,10:41:44,72651.89653599996,0.010902112400251518,1.0284425346399998E7
62,80,30.3,58,1.29,145,47.83,1.26,0.83,10:41:44,10:41:48,-20629.750814000086,-0.003555888530191842,5222713.381399999
63,171,38.63,57,1.46,253,26.08,1.17,0.8,10:41:48,10:41:55,-41561.01764499984,-0.007428414606739597,5534152.4145
64,123,39.72,66,1.42,67,24.14,1.06,0.84,10:41:55,10:42:01,-203528.98007000002,-0.05514801288851712,8761856.687
65,214,26.67,54,1.98,29,20.6,1.23,0.83,10:42:01,10:42:09,0.0,0.0,0.0
66,33,33.52,67,1.75,12,22.58,1.15,0.87,10:42:09,10:42:15,-212887.52138899983,-0.059956489168971006,1.931988818889999E7
67,48,24.43,75,1.8,183,22.08,1.3,0.75,10:42:15,10:42:18,-26855.418176000006,-0.004678084313138986,2944988.5376
68,15,24.41,40,1.93,296,23.58,1.25,0.77,10:42:18,10:42:30,498552.16723900044,0.05016877686176646,2.7733906146100003E7
69,104,38.79,51,1.89,208,30.62,1.23,0.94,10:42:30,10:42:40,-206361.93681000007,-0.05655506257942655,1.6436976680999996E7
70,57,32.31,53,1.58,214,22.64,1.12,0.89,10:42:40,10:42:47,-200232.935813,-0.0535595423151507,1.7636574431300003E7
71,15,22.28,67,1.92,193,47.69,1.28,0.9,10:42:47,10:42:55,39705.30517099984,0.0062341528243348154,2.2707162712899998E7
72,99,32.45,75,1.79,84,33.7,1.2,0.78,10:42:55,10:42:59,-51160.64518999998,-0.009305183712251308,2453076.4189999998
73,104,36.35,68,1.98,142,43.51,1.14,0.86,10:42:59,10:43:05,26620.462416000082,0.0042598653790602015,1.03014352384E7
74,151,24.27,58,1.24,254,37.08,1.15,0.94,10:43:05,10:43:10,0.0,0.0,0.0
75,103,25.94,34,1.6,22,31.34,1.15,0.77,10:43:10,10:43:13,6416.400000000023,0.001058684340151439,604360.0
76,177,27.26,81,1.94,71,42.18,1.05,0.91,10:43:13,10:43:20,0.0,0.0,0.0
77,57,34.98,72,1.95,54,33.41,1.07,0.79,10:43:20,10:43:24,-123642.56928399997,-0.026213778101706997,1.2305810148400003E7
78,114,25.63,82,1.8,166,23.11,1.34,0.83,10:43:24,10:43:28,102091.09999999998,0.014752570896081618,501890.0
79,18,21.41,36,1.45,143,49.45,1.21,0.85,10:43:28,10:43:34,314982.57528999983,0.03654241455213203,2.8776437400999997E7
80,171,32.11,80,1.37,233,37.0,1.12,0.81,10:43:34,10:43:41,10225.599999999977,0.001677270050671531,209440.0
81,135,30.67,32,1.68,179,30.15,1.28,0.79,10:43:41,10:43:46,95783.52159999998,0.013950661031068012,894363.84
82,241,35.65,33,1.69,192,30.41,1.27,0.93,10:43:46,10:43:54,24750.0,0.003971524730101539,225000.0
83,228,37.1,53,1.67,240,45.6,1.06,0.82,10:43:54,10:45:15,-88030.73339999997,-0.01721712084892768,505119.33999999997
84,206,23.15,60,1.46,278,43.27,1.09,0.87,10:45:15,10:45:23,0.0,0.0,0.0
85,15,34.82,74,1.95,260,30.66,1.27,0.75,10:45:23,10:45:37,427792.10658000037,0.0453080725560544,1.9887496782E7
86,194,27.34,89,1.57,278,26.98,1.27,0.93,10:45:37,10:45:44,0.0,0.0,0.0
87,140,38.0,53,1.45,278,39.99,1.17,0.89,10:45:44,10:45:53,49400.75794300006,0.007650974885943684,1.3844038355700001E7
88,71,34.86,42,1.76,205,49.77,1.28,0.91,10:45:53,10:48:13,20643.651390000014,0.0033329375033626096,1.5289644260999996E7
89,85,27.57,35,1.76,103,23.24,1.28,0.87,10:48:13,10:48:17,-101935.42960000003,-0.020545474780647943,2097498.96
90,169,32.31,57,1.23,263,32.52,1.28,0.77,10:48:17,10:48:23,25649.400000000023,0.004110367878062293,225060.0
91,118,32.73,43,1.49,283,35.69,1.34,0.83,10:48:23,10:48:28,-50933.438399999985,-0.00925997482175045,1832903.8399999999
92,227,34.82,81,1.74,293,37.56,1.15,0.91,10:48:28,10:48:36,20018.20000000001,0.0032349910519675618,220180.0
93,157,33.89,58,1.85,300,40.67,1.27,0.79,10:48:36,10:48:42,94883.0,0.013835184677134071,893700.0
94,9,21.25,90,1.49,117,48.21,1.18,0.75,10:48:42,10:48:49,284403.12182200013,0.03390244801562359,2.2833679577800006E7
95,9,22.54,89,1.2,191,35.54,1.11,0.75,10:48:49,10:48:59,203020.67548400024,0.026179250878117122,3.537079381159999E7
96,148,20.0,68,1.5,273,48.37,1.24,0.88,10:48:59,10:53:59,0.0,0.0,0.0
97,90,36.75,36,1.92,34,29.61,1.24,0.86,10:54:00,10:54:05,-59752.53878499998,-0.011044209632860569,1.13738367285E7
98,87,33.53,44,1.35,213,37.5,1.16,0.88,10:54:05,10:54:11,270.58213999995496,4.50777141083325E-5,1.2223387546000002E7
99,9,30.66,36,1.32,221,32.51,1.29,0.88,10:54:11,10:54:30,490277.6638820004,0.04962199450226068,4.852870587180003E7
100,9,23.58,62,1.85,140,50.0,1.19,0.92,10:54:30,10:54:40,31104.28548199992,0.004944730678378528,3.876767023180001E7
101,220,40.0,74,2.0,183,47.56,1.34,0.89,10:54:40,10:54:50,74900.73219999997,0.011206265107647884,3020611.0999999996
102,189,29.92,51,1.73,44,43.14,1.2,0.86,10:54:50,10:54:57,0.0,0.0,0.0
103,123,39.98,59,1.93,121,45.31,1.26,0.75,10:54:57,10:55:04,-134134.72145399993,-0.02919565508921551,5741745.555399999
104,9,29.95,60,1.2,144,49.97,1.34,0.77,10:55:04,10:55:16,914860.3122990001,0.07243321046951001,2.4223114480100002E7
105,9,20.52,46,1.2,153,32.38,1.06,0.77,10:55:16,10:55:24,149577.70918399998,0.02043225013768657,6.2301823831599995E7
106,64,40.0,30,1.34,163,44.11,1.34,0.75,10:55:24,10:56:32,-52775.06192800001,-0.009627549125805102,1.08399210528E7
107,101,22.24,64,1.2,178,32.9,1.15,0.78,10:56:32,10:56:36,21780.0,0.003510427547189776,222000.0
108,68,20.69,40,1.2,159,38.14,1.07,0.91,10:56:36,10:56:38,0.0,0.0,0.0
109,53,27.99,39,1.34,173,43.36,1.26,0.82,10:56:38,10:56:43,192783.58051200002,0.025124820129175607,1.04693273088E7
110,9,28.34,44,1.82,183,50.0,1.29,0.83,10:56:43,10:56:57,1434261.668291,0.09169084556909302,5.033924935090005E7
111,207,30.26,54,1.9,248,29.37,1.23,0.87,10:56:57,10:57:07,0.0,0.0,0.0
112,47,30.5,30,1.3,165,37.38,1.21,0.88,10:57:07,10:57:13,-103338.04419099988,-0.02089345213831062,2.0930316929099996E7
113,9,26.99,55,2.0,194,50.0,1.35,0.82,10:57:13,10:57:27,1323437.020374,0.08809223121876797,3.72681275226E7
114,181,30.18,68,2.0,219,25.14,1.16,0.87,10:57:27,10:57:35,0.0,0.0,0.0
115,83,28.65,58,1.67,9,32.4,1.29,0.82,10:57:35,10:57:38,173108.03459999996,0.023038442572598683,2370556.54
116,250,37.64,65,2.0,237,49.16,1.35,0.95,10:57:38,10:57:48,-31297.988000000012,-0.005493826989850792,566718.8
117,104,37.48,30,1.45,197,44.33,1.35,0.78,10:57:48,10:57:56,304900.99043300026,0.035686110607911825,1.17069722767E7
118,60,36.9,32,2.0,268,49.44,1.24,0.94,10:57:56,10:58:08,-120249.85450699984,-0.0252855604853498,1.7818841460699994E7
119,9,27.45,45,1.68,115,50.0,1.33,0.75,10:58:08,10:58:19,798436.082745,0.06704485672356064,2.29483614755E7
120,45,33.68,89,1.47,190,32.29,1.22,0.86,10:58:19,10:58:28,-62972.229893000156,-0.011711142769550542,2.37963390693E7
121,9,27.35,30,2.0,182,50.0,1.35,0.83,10:58:28,10:58:41,655095.2092319999,0.05961054244042563,2.51994288568E7
122,13,20.0,41,1.66,163,42.39,1.15,0.8,10:58:41,10:58:48,277986.78918800026,0.03333189086399013,2.8985066511199996E7
123,9,33.58,47,1.22,256,50.0,1.3,0.81,10:58:48,10:59:07,1302161.959604,0.08737478520704123,4.974939973960002E7
124,9,27.79,55,1.52,240,36.12,1.21,0.75,10:59:07,10:59:22,718794.95889,0.06303674499224221,3.0848614131E7
125,187,25.96,49,2.0,219,26.85,1.22,0.94,10:59:22,10:59:29,0.0,0.0,0.0
126,88,38.78,75,1.79,243,33.93,1.25,0.76,10:59:29,10:59:39,164693.5548719999,0.022120902406196352,1.8473212162800003E7
127,95,26.14,76,1.63,138,50.0,1.11,0.93,10:59:39,10:59:42,-21305.29999999999,-0.003676502913314228,377530.0
128,9,28.73,37,1.97,215,50.0,1.35,0.82,10:59:42,10:59:58,900894.9790759999,0.0718134156685406,2.6210084782400016E7
129,9,30.65,30,1.34,227,39.38,1.35,0.8,10:59:58,11:00:16,933865.8088239997,0.073265906572068,3.4880790457600005E7
130,95,20.84,41,1.43,249,44.09,1.16,0.94,11:00:16,11:00:19,0.0,0.0,0.0
131,111,33.17,47,1.79,181,50.0,1.35,0.77,11:00:19,11:00:24,43389.95960000006,0.006777072887570679,2501438.04
132,9,26.17,30,1.69,52,47.93,1.32,0.75,11:00:24,11:00:33,1263993.5435510003,0.08606466714590888,2.9201140724899996E7
